firstblood,FirstBlood,1ST,firstbloodcoin
2give,2GIVE,2GIVE,2give
artbyte,ArtByte,ABY,artbyte
cardano,Cardano,ADA,cardano
adtoken,adToken,ADT,adtoken
adx-net,adxnet,adex,ADX,adex
aeon,Aeon,AEON,aeon
agoras-tokens,Agoras Tokens,AGRS,agoras
synereo,Synereo,AMP,synereo
aragon,Aragon,ANT,aragonproject
apx,APX,APX,apxcoin
ardor,Ardor,ARDR,ardor
ark,ark,ARK,arkecosystem
auroracoin,Auroracoin,AUR,auroracoin
basic-attention-token,Basic Attention Token,BAT,basicattentiontoken
bitbay,BitBay,BAY,bitbay
bitconnect,BitConnect,BCC,bitconnect
bitcrystals,Bitcrystals,BCY,bitcrystals
bitbean,BitBean,BITB,bitbean
blitzcash,Blitzcash,BLITZ,blitzcash
blackcoin,BlackCoin,BLK,blackcoin
blocknet,Blocknet,BLOCK,theblocknet
bancor,Bancor,BNT,bancor
breakout,Breakout,BRK,breakoutcoin
bitcoindark,BitcoinDark,BTCD,bitcoindark
bitcoin-gold,bitcoingold,Bitcoin Gold,BTG,BitcoinGoldHQ
burst,Burst,BURST,burstcoin
bytecent,Bytecent,BYC,bytecent
cannabiscoin,CannabisCoin,CANN,cannabiscoins
cofound-it,Cofound.it,CFI,cofoundit
clams,Clams,CLAM,clamcoin
cloakcoin,CloakCoin,CLOAK,cloak_coin
circuits-of-value,Circuits of Value,COVAL,coval
creditbit,Creditbit,CRB,creditbit
crown,Crown,CRW,crown
curecoin,Curecoin,CURE,curecoin
civic,Civic,CVC,civicplatform
dash,Dash,DASH,dashpay
decred,Decred,DCR,decred
digibyte,DigiByte,DGB,digibyte
digixdao,DigixDAO,DGD,digix
diamond,Diamond,DMD,dmd
district0x,district0x,DNT,district0x
dogecoin,Dogecoin,DOGE,dogecoin
dopecoin,DopeCoin,DOPE,dopecoin
eboostcoin,eBoost,EBST,eboost
edgeless,Edgeless,EDG,edgeless
e-gulden,e-Gulden,EFL,egulden
evergreencoin,EverGreenCoin,EGC,evergreencoin
emercoin,Emercoin,EMC,emercoin
einsteinium,Einsteinium,EMC2,einsteinium
enigma-project,enigmaproject,Enigma,ENG,enigmacatalyst
energycoin,Energycoin,ENRG,energycoins
ethereum-classic,Ethereum Classic,ETC,ethereumclassic
ethereum,Ethereum,ETH,ethereum
expanse,EXP,expanseofficial
faircoin,FairCoin,FAIR,faircoin
factom,Factom,FCT,factom
foldingcoin,FoldingCoin,FLDC,foldingcoin
florincoin,FlorinCoin,FLO,florincoin
feathercoin,Feathercoin,FTC,feathercoin
funfair,FunFair,FUN,funfair
gamecredits,GameCredits,GAME,GameCreditsCrypto
byteball,Byteball Bytes,GBYTE,byteball
geocoin,GeoCoin,GEO,geocoin
goldcoin,GoldCoin,GLD,goldcoin
gnosisgno,gnosis,Gnosis,GNO,gnosisPM
golemnetworktokens,golem,GNT,golemproject
golos,Golos,GOLOS,golos
gridcoin,GridCoin,GRC,gridcoin
groestlcoin,Groestlcoin,GRS,groestlcoin
guppy,Matchpool,GUP,matchpool
humaniq,Humaniq,HMQ,humaniq
influxcoin,Influxcoin,INFX,influxcoin
iocoin,I/O Coin,IOC,iodigitalcurrency
ion,ION,ION,ioncoin
internet-of-people,Internet of People,IOP,internetofpeople
komodo,Komodo,KMD,komodoplatform
korecoin,Kore,KORE,newkorecoin
librarycredit,library-credit,lbry,LBC,lbry
legends-room,Legends Room,LGD,legendslgd
lomocoin,LoMoCoin,LMC,lomocoin
lisk,Lisk,LSK,lisk
litecoin,Litecoin,LTC,litecoin
lunyr,Lunyr,LUN,lunyr
maidsafecoin,MaidSafeCoin,MAID,maidsafecoin
decentraland,Decentraland,MANA,decentraland
monaco,Monaco,MCO,monacocard
memetic,Memetic / PepeCoin,MEME,memetic
monacoin,MonaCoin,MONA,monacoin
musicoin,Musicoin,MUSIC,musicoin
mysterium,Mysterium,MYST,mysteriumnetwork
nav-coin,NAV Coin,NAV,navcoin
neo,NEO,NEO,neo
neoscoin,NeosCoin,NEOS,neoscoin
gulden,Gulden,NLG,gulden
numeraire,Numeraire,NMR,numeraire
nexium,Nexium,NXC,nexiumcoin
nexus,Nexus,NXS,nexus_social
nxt,Nxt,NXT,nxt
omisego,OmiseGO,OMG,omise_go
omni,Omni,OMNI,omni
particl,Particl,PART,particl
tenx,TenX,PAY,tenx
pinkcoin,PinkCoin,PINK,pinkcoin
pivx,PIVX,PIVX,pivx
potcoin,PotCoin,POT,potcoin
power-ledger,Power Ledger,POWR,powerledger
peercoin,Peercoin,PPC,peercoin
pesetacoin,Pesetacoin,PTC,officialpesetacoin
patientory,Patientory,PTOY,ptoy
quantum-resistant-ledger,Quantum Resistant Ledger,QRL,qrl
qtum,Qtum,QTUM,qtum
radium,Radium,RADS,radiumcrypto
rubycoin,Rubycoin,RBY,rubycoin
ripio-credit-network,Ripio Credit Network,RCN,ripiocreditnetwork
reddcoin,ReddCoin,RDD,reddcoin
augur,Augur,REP,augur
rise,Rise,RISE,rise_coin
rlc,iExec RLC,RLC,iexec
salt,SALT,SALT,saltcoin
steemdollars,steem-dollars,Steem Dollars,SBD,steemit
siacoin,Siacoin,SC,siacoin
shift,Shift,SHIFT,shiftnrg
sibcoin,SIBCoin,SIB,sibcoin
solarcoin,SolarCoin,SLR,solarcoin
salus,SaluS,SLS,salus
status,Status,SNT,statusim
spreadcoin,SpreadCoin,SPR,spreadcoin
steem,Steem,STEEM,steem
storj,Storj,STORJ,storj
stratis,Stratis,STRAT,stratis
swarm-city,Swarm City,SWT,swarmcity
syndicate,Syndicate,SYNX,syndicatecommunity
syscoin,Syscoin,SYS,syscoin
hempcoin,HempCoin,THC,thehempcoin
blocktix,Blocktix,TIX,blocktix
tokes,Tokes,TKS,tokesplatform
trust,WeTrust,TRST,trustcoin
trustplus,TrustPlus,TRUST,trustpluscoin
transfercoin,TransferCoin,TX,transfercoin
ubiq,Ubiq,UBQ,ubiq
unikoin-gold,Unikoin Gold,UKG,unikoingold
viacoin,Viacoin,VIA,viacoin
viberate,Viberate,VIB,viberate
vericoin,VeriCoin,VRC,vericoin
vertcoin,Vertcoin,VTC,vertcoin
waves,WAVES,wavesplatform
wings,Wings,WINGS,wingsdao
counterparty,Counterparty,XCP,counterparty
digitalnote,DigitalNote,XDN,digitalnote
elastic,Elastic,XEL,xeltrader
nem,NEM,XEM,nem
stellar,Stellar,XLM,stellar
magi,Magi,XMG,coinmagi
monero,Monero,XMR,monero
myriad,Myriad,XMY,myriadcoin
ripple,Ripple,XRP,ripple
stealthcoin,Stealthcoin,XST,stealthcoin
vcash,Vcash,XVC,vcash
verge,Verge,XVG,verge
whitecoin,WhiteCoin,XWC,whitecoin
zcoin,ZCoin,XZC,zcoin
zclassic,ZClassic,ZCL,zclassic
zcash,Zcash,ZEC,zec
zencash,ZenCash,ZEN,zensys
